date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:54	41583/41583	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/element-feature-font-icons/	D:/website/digiXinfo/lambda.oxygenna.com/creative/element-feature-font-icons/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:54	39323/39323	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-features-lists/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-features-lists/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:58	73940/73940	---M--	200	added ('OK')	image/jpeg	etag:%22544a14cc-120d4%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p04-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p04-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:30:59	38987/38987	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-scroll-buttons-2/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-scroll-buttons-2/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:00	53769/53769	---M--	200	added ('OK')	image/jpeg	etag:%22544a14cb-d209%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p05-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p05-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:02	48891/48891	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-charts/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-charts/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:07	82228/82228	---M--	200	added ('OK')	image/jpeg	etag:%22544a14ca-14134%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p06-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p06-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:07	47085/47085	---M--	200	added ('OK')	image/jpeg	etag:%22544a14c8-b7ed%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p08-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p08-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:08	81338/81338	---M--	200	added ('OK')	image/jpeg	etag:%22544a14c9-13dba%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p07-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p07-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:09	37354/37354	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-countdown-timer/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-countdown-timer/index.html	(from http://lambda.oxygenna.com/creative/)
